Subkingdom,Phylum,Subphylum,Superclass,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Custom Subfamily,Tribe,Genus Group,Subtribe,Genus,Species Group,Subgenus,Species,Subspecies,Taxon Name,TSN,Taxonomic Rank,Fore Wisseman 2012-Clinger,Fore Wisseman 2012-Intolerant,Fore Wisseman 2012-Long Lived,Fore Wisseman 2012-Predator,Fore Wisseman 2012-Tolerant
,Arthropoda,Hexapoda,,Insecta,Pterygota,Neoptera,,Coleoptera,Adephaga,,,Amphizoidae,,,,,,Amphizoa,,,,,Amphizoa,111953,Genus,FALSE,FALSE,FALSE,FALSE,FALSE
,Arthropoda,Hexapoda,,Insecta,Pterygota,Neoptera,,Coleoptera,Adephaga,,,Dytiscidae,,,,,,,,,,,Dytiscidae,111963,Family,FALSE,FALSE,FALSE,TRUE,FALSE
,Arthropoda,Hexapoda,,Insecta,Pterygota,Neoptera,,Coleoptera,Adephaga,,,Dytiscidae,Agabinae,,Agabini,,,Agabinus,,,,,Agabinus,112068,Genus,FALSE,FALSE,FALSE,TRUE,FALSE
,Arthropoda,Hexapoda,,Insecta,Pterygota,Neoptera,,Coleoptera,Adephaga,,,Dytiscidae,Agabinae,,Agabini,,,Agabus,,,,,Agabus,111966,Genus,FALSE,FALSE,FALSE,TRUE,FALSE
,Arthropoda,Hexapoda,,Insecta,Pterygota,Neoptera,,Coleoptera,Adephaga,,,Dytiscidae,Colymbetinae,,Colymbetini,,,Rhantus,,,,,Rhantus,112086,Genus,FALSE,FALSE,FALSE,TRUE,FALSE
,Arthropoda,Hexapoda,,Insecta,Pterygota,Neoptera,,Coleoptera,Adephaga,,,Dytiscidae,Hydroporinae,,,,,,,,,,Hydroporinae,678402,Subfamily,FALSE,FALSE,FALSE,TRUE,FALSE
,Arthropoda,Hexapoda,,Insecta,Pterygota,Neoptera,,Coleoptera,Adephaga,,,Dytiscidae,Hydroporinae,,Hydroporini,,,Heterosternuta,,,,,Heterosternuta,728249,Genus,FALSE,FALSE,FALSE,TRUE,FALSE
,Arthropoda,Hexapoda,,Insecta,Pterygota,Neoptera,,Coleoptera,Adephaga,,,Dytiscidae,Hydroporinae,,Hydroporini,,,Hydroporus,,,,,Hydroporus,112390,Genus,FALSE,FALSE,FALSE,TRUE,FALSE
,Arthropoda,Hexapoda,,Insecta,Pterygota,Neoptera,,Coleoptera,Adephaga,,,Dytiscidae,Hydroporinae,,Hydroporini,,,Oreodytes,,,,,Oreodytes,112314,Genus,FALSE,FALSE,FALSE,TRUE,FALSE
,Arthropoda,Hexapoda,,Insecta,Pterygota,Neoptera,,Coleoptera,Adephaga,,,Dytiscidae,Hydroporinae,,Hydroporini,,,Sanfilippodytes,,,,,Sanfilippodytes,728253,Genus,FALSE,FALSE,FALSE,TRUE,FALSE
,Arthropoda,Hexapoda,,Insecta,Pterygota,Neoptera,,Coleoptera,Adephaga,,,Dytiscidae,Hydroporinae,,Hydrovatini,,,Hydrovatus,,,,,Hydrovatus,112257,Genus,FALSE,FALSE,FALSE,TRUE,FALSE
,Arthropoda,Hexapoda,,Insecta,Pterygota,Neoptera,,Coleoptera,Adephaga,,,Dytiscidae,Hydroporinae,,Hygrotini,,,Hygrotus,,,,,Hygrotus,112200,Genus,FALSE,FALSE,FALSE,TRUE,FALSE
,Arthropoda,Hexapoda,,Insecta,Pterygota,Neoptera,,Coleoptera,Adephaga,,,Dytiscidae,Laccophilinae,,Laccophilini,,,Laccophilus,,,,,Laccophilus,112278,Genus,FALSE,FALSE,FALSE,TRUE,FALSE
,Arthropoda,Hexapoda,,Insecta,Pterygota,Neoptera,,Coleoptera,Adephaga,,,Haliplidae,,,,,,,,,,,Haliplidae,111857,Family,FALSE,FALSE,FALSE,FALSE,FALSE
,Arthropoda,Hexapoda,,Insecta,Pterygota,Neoptera,,Coleoptera,Adephaga,,,Haliplidae,,,,,,Brychius,,,,,Brychius,111947,Genus,TRUE,FALSE,FALSE,FALSE,FALSE
,Arthropoda,Hexapoda,,Insecta,Pterygota,Neoptera,,Coleoptera,Adephaga,,,Haliplidae,,,,,,Haliplus,,,,,Haliplus,111858,Genus,FALSE,FALSE,FALSE,FALSE,FALSE
,Arthropoda,Hexapoda,,Insecta,Pterygota,Neoptera,,Coleoptera,Adephaga,,,Haliplidae,,,,,,Peltodytes,,,,,Peltodytes,111923,Genus,FALSE,FALSE,FALSE,FALSE,FALSE
,Arthropoda,Hexapoda,,Insecta,Pterygota,Neoptera,,Coleoptera,Myxophaga,,,Microsporidae,,,,,,,,,,,Microsporidae,678313,Family,FALSE,FALSE,FALSE,FALSE,FALSE
,Arthropoda,Hexapoda,,Insecta,Pterygota,Neoptera,,Coleoptera,Polyphaga,Cucujiformia,Curculionoidea,Curculionidae,,,,,,,,,,,Curculionidae,114666,Family,FALSE,FALSE,FALSE,FALSE,FALSE
,Arthropoda,Hexapoda,,Insecta,Pterygota,Neoptera,,Coleoptera,Polyphaga,Elateriformia,Byrrhoidea,Elmidae,,,,,,,,,,,Elmidae,114093,Family,TRUE,FALSE,TRUE,FALSE,FALSE
,Arthropoda,Hexapoda,,Insecta,Pterygota,Neoptera,,Coleoptera,Polyphaga,Elateriformia,Byrrhoidea,Elmidae,,,,,,Ampumixis,,,,,Ampumixis,114196,Genus,TRUE,FALSE,TRUE,FALSE,FALSE
,Arthropoda,Hexapoda,,Insecta,Pterygota,Neoptera,,Coleoptera,Polyphaga,Elateriformia,Byrrhoidea,Elmidae,,,,,,Ampumixis,,,dispar,,Ampumixis dispar,114197,Species,TRUE,FALSE,TRUE,FALSE,FALSE
,Arthropoda,Hexapoda,,Insecta,Pterygota,Neoptera,,Coleoptera,Polyphaga,Elateriformia,Byrrhoidea,Elmidae,,,,,,Cleptelmis,,,,,Cleptelmis,114164,Genus,TRUE,FALSE,TRUE,FALSE,FALSE
,Arthropoda,Hexapoda,,Insecta,Pterygota,Neoptera,,Coleoptera,Polyphaga,Elateriformia,Byrrhoidea,Elmidae,,,,,,Cleptelmis,,,addenda,,Cleptelmis addenda,114166,Species,TRUE,FALSE,TRUE,FALSE,FALSE
,Arthropoda,Hexapoda,,Insecta,Pterygota,Neoptera,,Coleoptera,Polyphaga,Elateriformia,Byrrhoidea,Elmidae,,,,,,Cleptelmis,,,ornata,,Cleptelmis ornata,114165,Species,TRUE,FALSE,TRUE,FALSE,FALSE
,Arthropoda,Hexapoda,,Insecta,Pterygota,Neoptera,,Coleoptera,Polyphaga,Elateriformia,Byrrhoidea,Elmidae,,,,,,Heterlimnius,,,,,Heterlimnius,114167,Genus,TRUE,FALSE,TRUE,FALSE,FALSE
,Arthropoda,Hexapoda,,Insecta,Pterygota,Neoptera,,Coleoptera,Polyphaga,Elateriformia,Byrrhoidea,Elmidae,,,,,,Heterlimnius,,,corpulentus,,Heterlimnius corpulentus,114169,Species,TRUE,FALSE,TRUE,FALSE,FALSE
,Arthropoda,Hexapoda,,Insecta,Pterygota,Neoptera,,Coleoptera,Polyphaga,Elateriformia,Byrrhoidea,Elmidae,,,,,,Heterlimnius,,,koebelei,,Heterlimnius koebelei,114168,Species,TRUE,FALSE,TRUE,FALSE,FALSE
,Arthropoda,Hexapoda,,Insecta,Pterygota,Neoptera,,Coleoptera,Polyphaga,Elateriformia,Byrrhoidea,Elmidae,,,,,,Lara,,,,,Lara,114137,Genus,TRUE,FALSE,TRUE,FALSE,FALSE
,Arthropoda,Hexapoda,,Insecta,Pterygota,Neoptera,,Coleoptera,Polyphaga,Elateriformia,Byrrhoidea,Elmidae,,,,,,Lara,,,avara,,Lara avara,114139,Species,TRUE,FALSE,TRUE,FALSE,FALSE
,Arthropoda,Hexapoda,,Insecta,Pterygota,Neoptera,,Coleoptera,Polyphaga,Elateriformia,Byrrhoidea,Elmidae,,,,,,Microcylloepus,,,,,Microcylloepus,114146,Genus,TRUE,FALSE,TRUE,FALSE,FALSE
